tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres
tt0054443,movie,Village of the Damned,Village of the Damned,0,1960,77,"Horror,Sci-Fi"
tt0054444,movie,El violetero,El violetero,0,1960,83,Comedy
tt0054445,movie,Virrad,Virrad,0,1960,95,Drama
tt0054446,movie,Visit to a Small Planet,Visit to a Small Planet,0,1960,85,"Comedy,Sci-Fi"
tt0054447,movie,Garibaldi,Viva l'Italia,0,1961,129,"Drama,History"
tt0054449,movie,Voskreseniye,Voskreseniye,0,1960,209,Drama
tt0054450,movie,Vsyo nachinayetsya s dorogi,Vsyo nachinayetsya s dorogi,0,1960,88,"Drama,Romance"
tt0054451,movie,Higher Principle,Vyssí princip,0,1960,104,"Drama,War"
tt0054452,movie,La Vérité,La vérité,0,1960,128,Drama
tt0054453,movie,The Wackiest Ship in the Army,The Wackiest Ship in the Army,0,1960,99,"Comedy,Drama,War"
tt0054454,movie,The True Jacob,Der wahre Jakob,0,1960,88,Comedy
tt0054455,movie,Wake Me When It's Over,Wake Me When It's Over,0,1960,126,Comedy
tt0054456,movie,Walet pikowy,Walet pikowy,0,1960,92,"Comedy,Crime"
tt0054457,movie,Walk Like a Dragon,Walk Like a Dragon,0,1960,95,Western
tt0054458,movie,Walk Tall,Walk Tall,0,1960,61,Western
tt0054459,movie,The Walking Target,The Walking Target,0,1960,75,"Crime,Drama"
tt0054460,movie,The Bad Sleep Well,Warui yatsu hodo yoku nemuru,0,1960,151,"Crime,Drama,Thriller"
tt0054461,movie,"Was wäre, wenn...?","Was wäre, wenn...?",0,1960,90,\N
tt0054462,movie,The Wasp Woman,The Wasp Woman,0,1959,63,"Horror,Sci-Fi"
tt0054463,movie,Watch Your Stern,Watch Your Stern,0,1960,90,Comedy
tt0054464,movie,Weit ist der Weg,Weit ist der Weg,0,1960,85,"Crime,Drama,Musical"
tt0054465,movie,When the Bells Sound Clearly,Wenn die Glocken hell erklingen,0,1959,90,"Comedy,Drama"
tt0054466,movie,Wenn die Heide blüht,Wenn die Heide blüht,0,1960,93,Drama
tt0054468,movie,When Comedy Was King,When Comedy Was King,0,1960,81,"Comedy,Documentary"
tt0054469,movie,Where the Boys Are,Where the Boys Are,0,1960,99,"Comedy,Drama,Romance"
tt0054473,movie,Who Was That Lady?,Who Was That Lady?,0,1960,115,"Comedy,Romance"
tt0054474,movie,Why Must I Die?,Why Must I Die?,0,1960,86,"Crime,Drama"
tt0054475,movie,The Wild Ride,The Wild Ride,0,1960,61,"Crime,Drama"
tt0054476,movie,Wild River,Wild River,0,1960,110,"Drama,History,Romance"
tt0054478,movie,"Willy, der Privatdetektiv","Willy, der Privatdetektiv",0,1960,88,Comedy
tt0054479,movie,We Cellar Children,Wir Kellerkinder,0,1960,86,"Comedy,Drama,War"
tt0054480,movie,Wir wollen niemals auseinandergehen,Wir wollen niemals auseinandergehen,0,1960,92,"Comedy,Musical,Romance"
tt0054481,movie,The Wizard of Baghdad,The Wizard of Baghdad,0,1960,92,Comedy
tt0054482,movie,Jokyô,Jokyô,0,1960,100,"Drama,Romance"
tt0054483,movie,The World of Suzie Wong,The World of Suzie Wong,0,1960,126,"Drama,Romance"
tt0054484,movie,El mundo de los vampiros,El mundo de los vampiros,0,1961,83,Horror
tt0054485,movie,One Room Tenants,Wspólny pokój,0,1960,92,Drama
tt0054486,movie,Empress Wu,Wu Ze Tian,0,1963,120,"Drama,History"
tt0054487,movie,X-25 Reports,X-25 javlja,0,1960,95,"Thriller,War"
tt0054488,movie,The Lovelorn Geisha,Yoru no nagare,0,1960,111,Drama
tt0054489,movie,Young Jesse James,Young Jesse James,0,1960,73,"Action,Adventure,War"
