index,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,ordering,region,language,types,attributes,isOriginalTitle,decennie,split_genres,averageRating,numVotes
60933,tt8110330,movie,Dil Bechara,Dil Bechara,0,2020,101,"Comedy,Drama,Romance",11,FR,\N,imdbDisplay,\N,0,de 2020 à 2030,"['Comedy', 'Drama', 'Romance']",8.4,132263.0
3222,tt0051201,movie,Witness for the Prosecution,Witness for the Prosecution,0,1957,116,"Crime,Drama,Mystery",38,FR,\N,\N,\N,0,de 1950 à 1960,"['Crime', 'Drama', 'Mystery']",8.4,128472.0
61178,tt8267604,movie,Capernaum,Capharnaüm,0,2018,126,Drama,58,FR,\N,imdbDisplay,\N,0,de 2010 à 2020,['Drama'],8.4,93736.0
15421,tt0091251,movie,Come and See,Idi i smotri,0,1985,142,"Drama,Thriller,War",19,FR,\N,dvd,\N,0,de 1980 à 1990,"['Drama', 'Thriller', 'War']",8.4,84261.0
40466,tt1313104,movie,The Cove,The Cove,0,2009,92,"Biography,Crime,Documentary",2,FR,\N,imdbDisplay,\N,0,de 2000 à 2010,"['Biography', 'Crime', 'Documentary']",8.4,50249.0
30424,tt0361748,movie,Inglourious Basterds,Inglourious Basterds,0,2009,153,"Adventure,Drama,War",35,FR,\N,imdbDisplay,\N,0,de 2000 à 2010,"['Adventure', 'Drama', 'War']",8.3,1479390.0
14173,tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,0,1983,131,"Action,Adventure,Fantasy",49,FR,\N,imdbDisplay,\N,0,de 1980 à 1990,"['Action', 'Adventure', 'Fantasy']",8.3,1069772.0
35892,tt1049413,movie,Up,Up,0,2009,96,"Adventure,Animation,Comedy",54,FR,\N,\N,\N,0,de 2000 à 2010,"['Adventure', 'Animation', 'Comedy']",8.3,1061539.0
18566,tt0105236,movie,Reservoir Dogs,Reservoir Dogs,0,1992,99,"Crime,Thriller",40,FR,\N,\N,\N,0,de 1990 à 2000,"['Crime', 'Thriller']",8.3,1036095.0
29930,tt0338013,movie,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,0,2004,108,"Drama,Romance,Sci-Fi",47,FR,\N,imdbDisplay,\N,0,de 2000 à 2010,"['Drama', 'Romance', 'Sci-Fi']",8.3,1024886.0
20258,tt0114709,movie,Toy Story,Toy Story,0,1995,81,"Adventure,Animation,Comedy",74,FR,\N,\N,\N,0,de 1990 à 2000,"['Adventure', 'Animation', 'Comedy']",8.3,1010632.0
21110,tt0119217,movie,Good Will Hunting,Good Will Hunting,0,1997,126,"Drama,Romance",3,FR,\N,\N,\N,0,de 1990 à 2000,"['Drama', 'Romance']",8.3,994430.0
14192,tt0086250,movie,Scarface,Scarface,0,1983,170,"Crime,Drama",30,FR,\N,\N,\N,0,de 1980 à 1990,"['Crime', 'Drama']",8.3,858490.0
24674,tt0180093,movie,Requiem for a Dream,Requiem for a Dream,0,2000,102,Drama,37,FR,\N,\N,\N,0,de 2000 à 2010,['Drama'],8.3,856422.0
32225,tt0435761,movie,Toy Story 3,Toy Story 3,0,2010,103,"Adventure,Animation,Comedy",38,FR,\N,imdbDisplay,\N,0,de 2010 à 2020,"['Adventure', 'Animation', 'Comedy']",8.3,849481.0
8852,tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,136,"Crime,Sci-Fi",10,FR,\N,imdbDisplay,\N,0,de 1970 à 1980,"['Crime', 'Sci-Fi']",8.3,842692.0
26230,tt0211915,movie,Amélie,Le fabuleux destin d'Amélie Poulain,0,2001,122,"Comedy,Romance",34,FR,\N,imdbDisplay,\N,0,de 2000 à 2010,"['Comedy', 'Romance']",8.3,766230.0
15889,tt0093058,movie,Full Metal Jacket,Full Metal Jacket,0,1987,116,"Drama,War",31,FR,\N,imdbDisplay,\N,0,de 1980 à 1990,"['Drama', 'War']",8.3,753828.0
7368,tt0062622,movie,2001: A Space Odyssey,2001: A Space Odyssey,0,1968,149,"Adventure,Sci-Fi",70,FR,\N,imdbDisplay,\N,0,de 1960 à 1970,"['Adventure', 'Sci-Fi']",8.3,680644.0
20013,tt0113277,movie,Heat,Heat,0,1995,170,"Action,Crime,Drama",57,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,"['Action', 'Crime', 'Drama']",8.3,668458.0
45597,tt1745960,movie,Top Gun: Maverick,Top Gun: Maverick,0,2022,130,"Action,Drama",36,FR,\N,imdbDisplay,\N,0,de 2020 à 2030,"['Action', 'Drama']",8.3,565207.0
3655,tt0052357,movie,Vertigo,Vertigo,0,1958,128,"Mystery,Romance,Thriller",28,FR,\N,imdbDisplay,\N,0,de 1950 à 1960,"['Mystery', 'Romance', 'Thriller']",8.3,408699.0
