tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,ordering,region,language,types,attributes,isOriginalTitle,decennie,split_genres,averageRating,numVotes
tt0120689,movie,The Green Mile,The Green Mile,0,1999,189,"Crime,Drama,Fantasy",47,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Crime,8.6,1324817.0
tt0120689,movie,The Green Mile,The Green Mile,0,1999,189,"Crime,Drama,Fantasy",47,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Drama,8.6,1324817.0
tt0120689,movie,The Green Mile,The Green Mile,0,1999,189,"Crime,Drama,Fantasy",47,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Fantasy,8.6,1324817.0
tt0120693,movie,Half Baked,Half Baked,0,1998,82,"Comedy,Crime",23,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Comedy,6.6,65465.0
tt0120693,movie,Half Baked,Half Baked,0,1998,82,"Comedy,Crime",23,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Crime,6.6,65465.0
tt0120694,movie,Halloween H20: 20 Years Later,Halloween H20: 20 Years Later,0,1998,86,"Horror,Thriller",35,FR,\N,alternative,\N,0,de 1990 à 2000,Horror,5.8,78327.0
tt0120694,movie,Halloween H20: 20 Years Later,Halloween H20: 20 Years Later,0,1998,86,"Horror,Thriller",35,FR,\N,alternative,\N,0,de 1990 à 2000,Thriller,5.8,78327.0
tt0120731,movie,The Legend of 1900,La leggenda del pianista sull'oceano,0,1998,169,"Drama,Music,Romance",1,FR,\N,\N,\N,0,de 1990 à 2000,Drama,8.0,66161.0
tt0120731,movie,The Legend of 1900,La leggenda del pianista sull'oceano,0,1998,169,"Drama,Music,Romance",1,FR,\N,\N,\N,0,de 1990 à 2000,Music,8.0,66161.0
tt0120731,movie,The Legend of 1900,La leggenda del pianista sull'oceano,0,1998,169,"Drama,Music,Romance",1,FR,\N,\N,\N,0,de 1990 à 2000,Romance,8.0,66161.0
tt0120735,movie,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",0,1998,107,"Action,Comedy,Crime",43,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Action,8.2,591858.0
tt0120735,movie,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",0,1998,107,"Action,Comedy,Crime",43,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Comedy,8.2,591858.0
tt0120735,movie,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",0,1998,107,"Action,Comedy,Crime",43,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Crime,8.2,591858.0
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,178,"Action,Adventure,Drama",54,FR,\N,imdbDisplay,\N,0,de 2000 à 2010,Action,8.8,1903865.0
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,178,"Action,Adventure,Drama",54,FR,\N,imdbDisplay,\N,0,de 2000 à 2010,Adventure,8.8,1903865.0
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,178,"Action,Adventure,Drama",54,FR,\N,imdbDisplay,\N,0,de 2000 à 2010,Drama,8.8,1903865.0
tt0120738,movie,Lost in Space,Lost in Space,0,1998,130,"Action,Adventure,Family",7,FR,\N,\N,\N,0,de 1990 à 2000,Action,5.2,73487.0
tt0120738,movie,Lost in Space,Lost in Space,0,1998,130,"Action,Adventure,Family",7,FR,\N,\N,\N,0,de 1990 à 2000,Adventure,5.2,73487.0
tt0120738,movie,Lost in Space,Lost in Space,0,1998,130,"Action,Adventure,Family",7,FR,\N,\N,\N,0,de 1990 à 2000,Family,5.2,73487.0
tt0120744,movie,The Man in the Iron Mask,The Man in the Iron Mask,0,1998,132,"Action,Adventure,Drama",21,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Action,6.5,171690.0
tt0120744,movie,The Man in the Iron Mask,The Man in the Iron Mask,0,1998,132,"Action,Adventure,Drama",21,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Adventure,6.5,171690.0
tt0120744,movie,The Man in the Iron Mask,The Man in the Iron Mask,0,1998,132,"Action,Adventure,Drama",21,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Drama,6.5,171690.0
tt0120746,movie,The Mask of Zorro,The Mask of Zorro,0,1998,136,"Action,Adventure,Comedy",8,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Action,6.8,189751.0
tt0120746,movie,The Mask of Zorro,The Mask of Zorro,0,1998,136,"Action,Adventure,Comedy",8,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Adventure,6.8,189751.0
tt0120746,movie,The Mask of Zorro,The Mask of Zorro,0,1998,136,"Action,Adventure,Comedy",8,FR,\N,imdbDisplay,\N,0,de 1990 à 2000,Comedy,6.8,189751.0
tt0120749,movie,Mercury Rising,Mercury Rising,0,1998,111,"Action,Crime,Drama",12,FR,\N,\N,\N,0,de 1990 à 2000,Action,6.1,75791.0
tt0120749,movie,Mercury Rising,Mercury Rising,0,1998,111,"Action,Crime,Drama",12,FR,\N,\N,\N,0,de 1990 à 2000,Crime,6.1,75791.0
tt0120749,movie,Mercury Rising,Mercury Rising,0,1998,111,"Action,Crime,Drama",12,FR,\N,\N,\N,0,de 1990 à 2000,Drama,6.1,75791.0
tt0120755,movie,Mission: Impossible II,Mission: Impossible II,0,2000,123,"Action,Adventure,Thriller",29,FR,\N,\N,new title,0,de 2000 à 2010,Action,6.1,350419.0
tt0120755,movie,Mission: Impossible II,Mission: Impossible II,0,2000,123,"Action,Adventure,Thriller",29,FR,\N,\N,new title,0,de 2000 à 2010,Adventure,6.1,350419.0
tt0120755,movie,Mission: Impossible II,Mission: Impossible II,0,2000,123,"Action,Adventure,Thriller",29,FR,\N,\N,new title,0,de 2000 à 2010,Thriller,6.1,350419.0
